id	display_name	category	method	identifier	executables	homepage	source_repository	license	needs_root	network_service	requires_docker	gui	update_method	verification_command	profile	notes_or_conflicts
nmap	Nmap	network	apt	nmap	nmap	https://nmap.org	https://github.com/nmap/nmap	NPSL	true	false	false	false	apt	nmap --version	core	Raw packet modes need root
netcat-openbsd	Netcat OpenBSD	network	apt	netcat-openbsd	nc	https://packages.debian.org/trixie/netcat-openbsd	https://salsa.debian.org/debian/netcat-openbsd	BSD	false	optional	false	false	apt	nc -h	core	Never starts a listener automatically
socat	Socat	network	apt	socat	socat	http://www.dest-unreach.org/socat	https://repo.or.cz/socat.git	GPL-2.0	false	optional	false	false	apt	socat -V	core	Can create listeners when explicitly invoked
tcpdump	tcpdump	network	apt	tcpdump	tcpdump	https://www.tcpdump.org	https://github.com/the-tcpdump-group/tcpdump	BSD-3-Clause	true	false	false	false	apt	tcpdump --version	core	Capture privileges are not granted globally
tshark	TShark	network	apt	tshark	tshark	https://www.wireshark.org	https://gitlab.com/wireshark/wireshark	GPL-2.0+	true	false	false	false	apt	tshark --version	core	Limited capture group is explicit opt-in
traceroute	traceroute	network	apt	traceroute	traceroute	https://traceroute.sourceforge.net	https://sourceforge.net/projects/traceroute	GPL-2.0+	false	false	false	false	apt	traceroute --version	core	-
mtr	MTR	network	apt	mtr-tiny	mtr	https://www.bitwizard.nl/mtr	https://github.com/traviscross/mtr	GPL-2.0	false	false	false	false	apt	mtr --version	core	CLI-only package
dnsutils	BIND DNS utilities	network	apt	bind9-dnsutils	dig,nslookup	https://www.isc.org/bind	https://gitlab.isc.org/isc-projects/bind9	MPL-2.0	false	false	false	false	apt	dig -v	core	Trixie package name is bind9-dnsutils
curl	curl	base	apt	curl	curl	https://curl.se	https://github.com/curl/curl	curl	false	false	false	false	apt	curl --version	core	Foundation dependency
wget	Wget	base	apt	wget	wget	https://www.gnu.org/software/wget	https://git.savannah.gnu.org/git/wget.git	GPL-3.0+	false	false	false	false	apt	wget --version	core	Foundation dependency
git	Git	base	apt	git	git	https://git-scm.com	https://github.com/git/git	GPL-2.0	false	false	false	false	apt	git --version	core	Managed repositories use fast-forward-only updates
jq	jq	base	apt	jq	jq	https://jqlang.org	https://github.com/jqlang/jq	MIT	false	false	false	false	apt	jq --version	core	Foundation dependency
sqlmap	sqlmap	web	pipx	sqlmap	sqlmap	https://sqlmap.org	https://github.com/sqlmapproject/sqlmap	GPL-2.0	false	false	false	false	pipx	root=false;sqlmap --version	core	Use only against authorized targets
ffuf	ffuf	web	go	ffuf	ffuf	https://github.com/ffuf/ffuf	https://github.com/ffuf/ffuf	MIT	false	false	false	false	go	ffuf -V	core	Pinned Go module
gobuster	Gobuster	web	go	gobuster	gobuster	https://github.com/OJ/gobuster	https://github.com/OJ/gobuster	Apache-2.0	false	false	false	false	go	gobuster version	core	Pinned Go module
nikto	Nikto	web	manual	nikto	nikto	https://cirt.net/Nikto2	https://github.com/sullo/nikto	GPL-2.0	false	false	false	false	manual	nikto -Version	full	Not packaged in Trixie; reviewed source installation is manual
dirb	DIRB	web	apt	dirb	dirb	https://dirb.sourceforge.net	https://sourceforge.net/projects/dirb	GPL-2.0	false	false	false	false	apt	dirb	core	No automatic scanning
whatweb	WhatWeb	web	apt	whatweb	whatweb	https://morningstarsecurity.com/research/whatweb	https://github.com/urbanadventurer/WhatWeb	GPL-2.0	false	false	false	false	apt	whatweb --version	core	-
sslscan	SSLScan	web	apt	sslscan	sslscan	https://github.com/rbsec/sslscan	https://github.com/rbsec/sslscan	GPL-3.0	false	false	false	false	apt	sslscan --version	core	-
smbclient	Samba client	ad	apt	smbclient	smbclient	https://www.samba.org	https://git.samba.org/samba.git	GPL-3.0+	false	false	false	false	apt	smbclient --version	core	-
john	John the Ripper	passwords	apt	john	john	https://www.openwall.com/john	https://github.com/openwall/john	GPL-2.0+	false	false	false	false	apt	john --list=build-info	core	Debian build; jumbo features may differ
hashcat	Hashcat	passwords	apt	hashcat	hashcat	https://hashcat.net/hashcat	https://github.com/hashcat/hashcat	MIT	false	false	false	false	apt	hashcat --version	core	GPU drivers are not installed automatically
hydra	THC Hydra	passwords	apt	hydra	hydra	https://github.com/vanhauser-thc/thc-hydra	https://github.com/vanhauser-thc/thc-hydra	AGPL-3.0	false	false	false	false	apt	hydra -h	core	-
gdb	GDB	exploitation	apt	gdb	gdb	https://www.gnu.org/software/gdb	https://sourceware.org/git/binutils-gdb.git	GPL-3.0+	false	false	false	false	apt	gdb --version	core	Plugins are separate opt-ins
checksec	checksec	exploitation	apt	checksec	checksec	https://github.com/slimm609/checksec.sh	https://github.com/slimm609/checksec.sh	BSD-3-Clause	false	false	false	false	apt	checksec --version	core	-
binutils	GNU Binutils	reverse-engineering	apt	binutils	strings,objdump,readelf	https://www.gnu.org/software/binutils	https://sourceware.org/git/binutils-gdb.git	GPL-3.0+	false	false	false	false	apt	strings --version	core	Standard binary utilities
masscan	MASSCAN	network	apt	masscan	masscan	https://github.com/robertdavidgraham/masscan	https://github.com/robertdavidgraham/masscan	AGPL-3.0	true	false	false	false	apt	masscan --version	standard	High-rate scanning requires explicit operator care
rustscan	RustScan	network	cargo	rustscan	rustscan	https://github.com/RustScan/RustScan	https://github.com/RustScan/RustScan	GPL-3.0	false	false	false	false	cargo	rustscan --version	standard	Pinned Cargo crate
naabu	Naabu	network	go	naabu	naabu	https://projectdiscovery.io	https://github.com/projectdiscovery/naabu	MIT	true	false	false	false	go	naabu -version	standard	Raw scan modes need root
wireshark	Wireshark	network	apt	wireshark	wireshark	https://www.wireshark.org	https://gitlab.com/wireshark/wireshark	GPL-2.0+	true	false	false	true	apt	wireshark --version	standard	GUI; capture group remains opt-in
arp-scan	arp-scan	network	apt	arp-scan	arp-scan	https://github.com/royhills/arp-scan	https://github.com/royhills/arp-scan	GPL-3.0	true	false	false	false	apt	arp-scan --version	standard	Local-link discovery only when invoked
netdiscover	Netdiscover	network	apt	netdiscover	netdiscover	https://github.com/netdiscover-scanner/netdiscover	https://github.com/netdiscover-scanner/netdiscover	GPL-3.0	true	false	false	false	apt	netdiscover -h	standard	-
hping3	hping3	network	apt	hping3	hping3	https://github.com/antirez/hping	https://github.com/antirez/hping	GPL-2.0	true	false	false	false	apt	hping3 --version	standard	Raw packets require root
scapy	Scapy	network	pipx	scapy	scapy	https://scapy.net	https://github.com/secdev/scapy	GPL-2.0	true	false	false	false	pipx	scapy --version	standard	Some operations require root
mitmproxy	mitmproxy	network	pipx	mitmproxy	mitmproxy	https://mitmproxy.org	https://github.com/mitmproxy/mitmproxy	MIT	false	optional	false	false	pipx	mitmproxy --version	standard	Never started automatically
macchanger	MAC Changer	network	apt	macchanger	macchanger	https://github.com/alobbs/macchanger	https://github.com/alobbs/macchanger	GPL-2.0	true	false	false	false	apt	macchanger --version	standard	Never changes interfaces during install
whois	whois	network	apt	whois	whois	https://github.com/rfc1036/whois	https://github.com/rfc1036/whois	GPL-2.0+	false	false	false	false	apt	whois --version	full	-
iperf3	iPerf3	network	apt	iperf3	iperf3	https://software.es.net/iperf	https://github.com/esnet/iperf	BSD-3-Clause	false	optional	false	false	apt	iperf3 --version	full	Server mode is never started automatically
ike-scan	ike-scan	network	apt	ike-scan	ike-scan	https://github.com/royhills/ike-scan	https://github.com/royhills/ike-scan	GPL-3.0	true	false	false	false	apt	ike-scan --version	full	-
snmp	Net-SNMP tools	network	apt	snmp	snmpwalk	http://www.net-snmp.org	https://github.com/net-snmp/net-snmp	BSD	false	false	false	false	apt	snmpwalk --version	full	Client tools only
bettercap	bettercap	network	apt	bettercap	bettercap	https://www.bettercap.org	https://github.com/bettercap/bettercap	GPL-3.0	true	optional	false	false	apt	bettercap -version	standard	Trixie package; no service or caplet starts automatically
nuclei	Nuclei	web	go	nuclei	nuclei	https://nuclei.projectdiscovery.io	https://github.com/projectdiscovery/nuclei	MIT	false	false	false	false	go	nuclei -version	standard	Templates update separately and are not auto-executed
httpx	HTTPx	web	go	httpx	httpx	https://github.com/projectdiscovery/httpx	https://github.com/projectdiscovery/httpx	MIT	false	false	false	false	go	httpx -version	standard	ProjectDiscovery tool; not Python httpx
katana	Katana	web	go	katana	katana	https://github.com/projectdiscovery/katana	https://github.com/projectdiscovery/katana	MIT	false	false	false	false	go	katana -version	standard	-
feroxbuster	Feroxbuster	web	cargo	feroxbuster	feroxbuster	https://epi052.github.io/feroxbuster-docs	https://github.com/epi052/feroxbuster	MIT	false	false	false	false	cargo	feroxbuster --version	standard	Pinned Cargo crate
dirsearch	dirsearch	web	pipx	dirsearch	dirsearch	https://github.com/maurosoria/dirsearch	https://github.com/maurosoria/dirsearch	GPL-2.0	false	false	false	false	pipx	dirsearch --version	standard	-
gau	GetAllUrls	web	go	gau	gau	https://github.com/lc/gau	https://github.com/lc/gau	MIT	false	false	false	false	go	gau --version	standard	Uses public archive APIs when invoked
waybackurls	waybackurls	web	go	waybackurls	waybackurls	https://github.com/tomnomnom/waybackurls	https://github.com/tomnomnom/waybackurls	MIT	false	false	false	false	go	waybackurls --help	standard	-
arjun	Arjun	web	pipx	arjun	arjun	https://github.com/s0md3v/Arjun	https://github.com/s0md3v/Arjun	AGPL-3.0	false	false	false	false	pipx	arjun --help	standard	-
dalfox	Dalfox	web	go	dalfox	dalfox	https://dalfox.hahwul.com	https://github.com/hahwul/dalfox	MIT	false	optional	false	false	go	dalfox version	standard	Blind mode may use callback service only when requested
wafw00f	WAFW00F	web	pipx	wafw00f	wafw00f	https://github.com/EnableSecurity/wafw00f	https://github.com/EnableSecurity/wafw00f	BSD-3-Clause	false	false	false	false	pipx	wafw00f --version	standard	-
testssl	TestSSL.sh	web	apt	testssl.sh	testssl.sh	https://testssl.sh	https://github.com/testssl/testssl.sh	GPL-2.0	false	false	false	false	apt	testssl.sh --version	standard	Debian package preferred; manual fallback documented
sslyze	SSLyze	web	pipx	sslyze	sslyze	https://github.com/nabla-c0d3/sslyze	https://github.com/nabla-c0d3/sslyze	AGPL-3.0	false	false	false	false	pipx	sslyze --version	standard	-
commix	Commix	web	pipx	commix	commix	https://commixproject.com	https://github.com/commixproject/commix	GPL-3.0	false	false	false	false	pipx	commix --version	full	-
interactsh-client	Interactsh client	web	go	interactsh-client	interactsh-client	https://github.com/projectdiscovery/interactsh	https://github.com/projectdiscovery/interactsh	MIT	false	optional	false	false	go	interactsh-client -version	standard	No local listener starts automatically
amass	OWASP Amass	web	manual	amass	amass	https://owasp.org/www-project-amass	https://github.com/owasp-amass/amass	Apache-2.0	false	false	false	false	manual	amass -version	standard	Not packaged in Trixie; manual until a pinned v4 build is supported
subfinder	Subfinder	web	go	subfinder	subfinder	https://github.com/projectdiscovery/subfinder	https://github.com/projectdiscovery/subfinder	MIT	false	false	false	false	go	subfinder -version	standard	API keys are never requested during install
assetfinder	Assetfinder	web	go	assetfinder	assetfinder	https://github.com/tomnomnom/assetfinder	https://github.com/tomnomnom/assetfinder	MIT	false	false	false	false	go	assetfinder -h	standard	-
dnsx	DNSx	web	go	dnsx	dnsx	https://github.com/projectdiscovery/dnsx	https://github.com/projectdiscovery/dnsx	MIT	false	false	false	false	go	dnsx -version	standard	-
shuffledns	ShuffleDNS	web	go	shuffledns	shuffledns	https://github.com/projectdiscovery/shuffledns	https://github.com/projectdiscovery/shuffledns	MIT	false	false	false	false	go	shuffledns -version	full	Requires massdns for full functionality
dnsrecon	DNSRecon	web	apt	dnsrecon	dnsrecon	https://github.com/darkoperator/dnsrecon	https://github.com/darkoperator/dnsrecon	GPL-2.0	false	false	false	false	apt	dnsrecon --version	standard	-
dnsenum	dnsenum	web	apt	dnsenum	dnsenum	https://github.com/fwaeytens/dnsenum	https://github.com/fwaeytens/dnsenum	GPL-2.0	false	false	false	false	apt	dnsenum --version	standard	-
fierce	Fierce	web	apt	fierce	fierce	https://github.com/mschwager/fierce	https://github.com/mschwager/fierce	GPL-3.0	false	false	false	false	apt	fierce --version	full	-
burpsuite	Burp Suite Community	web	manual	burpsuite	burpsuite	https://portswigger.net/burp/communitydownload	-	Proprietary	false	optional	false	true	vendor	burpsuite	optional	Official download only; license acceptance required
owasp-zap	OWASP ZAP	web	manual	owasp-zap	zap.sh	https://www.zaproxy.org	https://github.com/zaproxy/zaproxy	Apache-2.0	false	optional	false	true	manual	zap.sh -version	optional	Large GUI application
tplmap	Tplmap	web	manual	tplmap	tplmap	https://github.com/epinna/tplmap	https://github.com/epinna/tplmap	GPL-3.0	false	false	false	false	manual	manual	optional	Upstream maintenance status is insufficient for automatic install
jwt-tool	jwt_tool	web	manual	jwt_tool	jwt_tool	https://github.com/ticarpi/jwt_tool	https://github.com/ticarpi/jwt_tool	GPL-3.0	false	optional	false	false	manual	jwt_tool -h	full	Source install requires review
impacket	Impacket	ad	apt	python3-impacket	impacket-smbserver,impacket-secretsdump	https://www.secureauth.com/labs/open-source-tools/impacket	https://github.com/fortra/impacket	Apache-2.0	false	optional	false	false	apt	python3 -c 'import impacket'	standard	Debian package provides prefixed executables
bloodhound-python	BloodHound Python collector	ad	pipx	bloodhound-python	bloodhound-python	https://github.com/dirkjanm/BloodHound.py	https://github.com/dirkjanm/BloodHound.py	MIT	false	false	false	false	pipx	bloodhound-python --help	standard	Collector only; no automatic collection
netexec	NetExec	ad	pipx	netexec	nxc	https://www.netexec.wiki	https://github.com/Pennyw0rth/NetExec	BSD-2-Clause	false	optional	false	false	pipx	nxc --version	standard	-
certipy-ad	Certipy	ad	pipx	certipy-ad	certipy	https://github.com/ly4k/Certipy	https://github.com/ly4k/Certipy	MIT	false	false	false	false	pipx	certipy --version	standard	PyPI project is certipy-ad
coercer	Coercer	ad	pipx	coercer	Coercer	https://github.com/p0dalirius/Coercer	https://github.com/p0dalirius/Coercer	GPL-3.0	false	optional	false	false	pipx	Coercer --help	standard	-
bloodyad	BloodyAD	ad	pipx	bloodyad	bloodyAD	https://github.com/CravateRouge/bloodyAD	https://github.com/CravateRouge/bloodyAD	MIT	false	false	false	false	pipx	bloodyAD --help	standard	-
enum4linux-ng	enum4linux-ng	ad	pipx	enum4linux-ng	enum4linux-ng	https://github.com/cddmp/enum4linux-ng	https://github.com/cddmp/enum4linux-ng	GPL-3.0	false	false	false	false	pipx	enum4linux-ng --version	standard	-
rpcclient	rpcclient	ad	apt	samba-common-bin	rpcclient	https://www.samba.org	https://git.samba.org/samba.git	GPL-3.0+	false	false	false	false	apt	rpcclient --version	standard	Shares package with other Samba utilities
ldapsearch	OpenLDAP client	ad	apt	ldap-utils	ldapsearch	https://www.openldap.org	https://git.openldap.org/openldap/openldap	OpenLDAP	false	false	false	false	apt	ldapsearch -VV	standard	Client tools only
kerbrute	Kerbrute	ad	go	kerbrute	kerbrute	https://github.com/ropnop/kerbrute	https://github.com/ropnop/kerbrute	Apache-2.0	false	false	false	false	go	kerbrute -h	standard	-
responder	Responder	ad	manual	responder	Responder.py	https://github.com/lgandx/Responder	https://github.com/lgandx/Responder	GPL-3.0	true	optional	false	false	manual	manual	full	Listener-capable; reviewed source installation only
ldapdomaindump	ldapdomaindump	ad	pipx	ldapdomaindump	ldapdomaindump	https://github.com/dirkjanm/ldapdomaindump	https://github.com/dirkjanm/ldapdomaindump	MIT	false	false	false	false	pipx	ldapdomaindump --help	full	-
smbmap	SMBMap	ad	pipx	smbmap	smbmap	https://github.com/ShawnDEvans/smbmap	https://github.com/ShawnDEvans/smbmap	GPL-3.0	false	false	false	false	pipx	smbmap --version	full	-
bloodhound-ce	BloodHound Community Edition	ad	docker	bloodhound	bloodhound	https://bloodhound.specterops.io	https://github.com/SpecterOps/BloodHound	Apache-2.0	true	true	true	true	docker-compose	offsec-bloodhound status	optional	Localhost-only; installed but never started by default
evil-winrm	Evil-WinRM	ad	manual	evil-winrm	evil-winrm	https://github.com/Hackplayers/evil-winrm	https://github.com/Hackplayers/evil-winrm	LGPL-3.0	false	false	false	false	manual	evil-winrm --version	full	Ruby dependency churn requires operator-managed installation
inveigh	Inveigh	ad	manual	inveigh	Inveigh.ps1	https://github.com/Kevin-Robertson/Inveigh	https://github.com/Kevin-Robertson/Inveigh	BSD-3-Clause	false	optional	false	false	manual	manual	optional	Windows resource only; never executed on host
pkinittools	PKINITtools	ad	manual	pkinittools	gettgtpkinit.py	https://github.com/dirkjanm/PKINITtools	https://github.com/dirkjanm/PKINITtools	MIT	false	false	false	false	manual	manual	full	Research scripts; explicit manual review
targetedkerberoast	targetedKerberoast	ad	manual	targetedkerberoast	targetedKerberoast.py	https://github.com/ShutdownRepo/targetedKerberoast	https://github.com/ShutdownRepo/targetedKerberoast	MIT	false	false	false	false	manual	manual	full	Research script; explicit manual review
windapsearch	windapsearch	ad	manual	windapsearch	windapsearch.py	https://github.com/ropnop/windapsearch	https://github.com/ropnop/windapsearch	MIT	false	false	false	false	manual	manual	full	Source script; explicit manual review
medusa	Medusa	passwords	apt	medusa	medusa	http://foofus.net/goons/jmk/medusa/medusa.html	https://github.com/jmk-foofus/medusa	GPL-2.0	false	false	false	false	apt	medusa -V	standard	-
ncrack	Ncrack	passwords	apt	ncrack	ncrack	https://nmap.org/ncrack	https://github.com/nmap/ncrack	GPL-2.0	false	false	false	false	apt	ncrack --version	standard	-
