# id<TAB>module<TAB>version<TAB>executables
ffuf	github.com/ffuf/ffuf/v2	v2.1.0	ffuf
gobuster	github.com/OJ/gobuster/v3	v3.6.0	gobuster
nuclei	github.com/projectdiscovery/nuclei/v3/cmd/nuclei	v3.4.10	nuclei
httpx	github.com/projectdiscovery/httpx/cmd/httpx	v1.7.1	httpx
katana	github.com/projectdiscovery/katana/cmd/katana	v1.2.2	katana
subfinder	github.com/projectdiscovery/subfinder/v2/cmd/subfinder	v2.8.0	subfinder
dnsx	github.com/projectdiscovery/dnsx/cmd/dnsx	v1.2.2	dnsx
naabu	github.com/projectdiscovery/naabu/v2/cmd/naabu	v2.3.5	naabu
chisel	github.com/jpillora/chisel	v1.11.5	chisel
interactsh-client	github.com/projectdiscovery/interactsh/cmd/interactsh-client	v1.2.4	interactsh-client
gau	github.com/lc/gau/v2/cmd/gau	v2.2.4	gau
waybackurls	github.com/tomnomnom/waybackurls	v0.1.0	waybackurls
assetfinder	github.com/tomnomnom/assetfinder	v0.1.1	assetfinder
dalfox	github.com/hahwul/dalfox/v2	v2.12.0	dalfox
shuffledns	github.com/projectdiscovery/shuffledns/cmd/shuffledns	v1.1.0	shuffledns
kerbrute	github.com/ropnop/kerbrute	v1.0.3	kerbrute
cloudfox	github.com/BishopFox/cloudfox	v1.15.0	cloudfox
